aime24,aime25,amc23,math_500,minerva,olympiadbench,Avg.,aime24_std,aime25_std,amc23_std,math_500_std,minerva_std,olympiadbench_std,model
33.7,22.7,73.8,84.9,29.3,53.2,49.6,5.3,3.9,3.4,0.4,1.8,0.9,acc1.0fmt0.0
36.0,22.0,74.5,85.5,30.9,53.9,50.5,4.4,3.4,4.0,0.5,0.5,0.5,acc0.0fmt1.0
28.7,22.3,73.5,84.9,29.5,52.9,48.6,7.0,4.5,3.4,1.1,0.5,0.7,acc0.1fmt0.9
32.3,23.7,76.0,84.8,28.7,53.3,49.8,6.0,4.6,4.2,0.5,1.6,0.7,acc0.3fmt0.7
31.3,25.0,72.8,85.6,28.8,53.1,49.4,7.2,6.0,6.5,0.3,3.0,0.6,acc0.5fmt0.5
32.0,23.7,71.8,85.5,31.2,52.7,49.5,5.0,2.8,5.0,0.7,0.9,0.8,acc0.7fmt0.3
30.3,20.7,73.8,84.9,29.2,53.4,48.7,9.1,3.6,4.9,0.7,0.6,0.9,acc0.9fmt0.1
