aime24,aime25,amc23,math_500,minerva,olympiadbench,Avg.,aime24_std,aime25_std,amc23_std,math_500_std,minerva_std,olympiadbench_std,model
31.7,23.0,72.0,84.8,29.8,52.7,49.0,4.5,4.1,5.2,0.2,1.0,1.8,mix
30.7,18.7,70.5,85.2,30.1,52.0,47.9,6.1,4.0,4.7,0.4,0.8,1.6,acc1.0fmt0.0
31.7,22.0,72.5,84.5,28.3,52.9,48.6,7.3,4.8,3.5,0.2,0.5,1.3,acc0.0fmt1.0
32.3,23.7,76.0,84.8,28.7,53.3,49.8,6.0,4.6,4.2,0.5,1.6,0.7,acc0.3fmt0.7
33.0,22.3,75.8,84.8,30.5,52.7,49.8,5.9,2.6,4.8,1.4,1.8,0.4,acc0.5fmt0.5
32.0,23.7,71.8,85.5,31.2,52.7,49.5,5.0,2.8,5.0,0.7,0.9,0.8,acc0.7fmt0.3
